apps/dataent/dataent/utils/change_log.py +215,New {} releases for the following apps are available,Nye {} udgivelser til følgende apps er tilgængelige
apps/dataent/dataent/website/doctype/web_form/web_form.py +59,Please select a Amount Field.,Vælg beløbsfelt.
apps/dataent/dataent/custom/doctype/customize_form/customize_form.js +284,Press Esc to close,Tryk på Esc for at lukke
apps/dataent/dataent/desk/form/assign_to.py +161,"A new task, {0}, has been assigned to you by {1}. {2}","En ny opgave, {0}, er blevet tildelt til dig af {1}. {2}"
DocType: Email Queue,Email Queue records.,Email Queue optegnelser.
DocType: Address,Punjab,Punjab
apps/dataent/dataent/config/setup.py +126,Rename many items by uploading a .csv file.,Omdøb mange varer ved at uploade en .csv-fil.
DocType: Workflow State,pause,pause
apps/dataent/dataent/www/desk.py +18,You are not permitted to access this page.,Du har ikke tilladelse til at få adgang til denne side.
apps/dataent/dataent/integrations/doctype/ldap_settings/ldap_settings.py +33,Seems ldap is not installed on system.<br>Guidelines to install ldap dependancies and python package,Synes ldap er ikke installeret på systemet. <br> Retningslinjer for installation af ldap-afhængigheder og python-pakker
DocType: About Us Settings,Website,Hjemmeside
apps/dataent/dataent/www/me.py +14,You need to be logged in to access this page,Du skal være logget ind for at få adgang til denne side
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Bemærk: Flere sessioner vil være tilladt i tilfælde af mobil enhed
apps/dataent/dataent/core/doctype/user/user.py +690,Enabled email inbox for user {users},Aktiveret email indbakke for bruger {brugere}
apps/dataent/dataent/email/queue.py +252,Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Kan ikke sende denne e-mail. Du har krydset sende grænse på {0} emails for denne måned.
apps/dataent/dataent/public/js/legacy/form.js +779,Permanently Submit {0}?,Godkend endeligt {0}?
apps/dataent/dataent/desk/page/backups/backups.js +12,Download Files Backup,Download sikkerhedskopier
DocType: Address,County,Anvendes ikke
DocType: Workflow,If Checked workflow status will not override status in list view,Hvis Kontrolleret workflow status ikke tilsidesætter status i listevisning
apps/dataent/dataent/client.py +311,Invalid file path: {0},Ugyldig filsti: {0}
DocType: Workflow State,eye-open,eye-open
DocType: Email Queue,Send After,Send Efter
apps/dataent/dataent/utils/file_manager.py +37,Please select a file or url,Vælg en fil eller url
apps/dataent/dataent/public/js/dataent/views/treeview.js +89,{0} Tree,{0} Træ
DocType: User,User Emails,Bruger e-mails
DocType: User,Username,Brugernavn
apps/dataent/dataent/public/js/dataent/views/file/file_view.js +90,Import Zip,Import Zip
apps/dataent/dataent/model/base_document.py +563,Value too big,Værdi for stor
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Kør scripttest
DocType: Data Import,Total Rows,Samlede rækker
DocType: Contact,Department,Afdeling
DocType: DocField,Options,Optioner
apps/dataent/dataent/client.py +115,Cannot edit standard fields,Kan ikke redigere standardfelter
DocType: Print Format,Print Format Builder,Print Format Builder
DocType: GCalendar Account,Calendar Name,Kalendernavn
DocType: Report,Report Manager,Rapportstyring
DocType: Workflow,Document States,Dokument stater
apps/dataent/dataent/public/js/dataent/views/pageview.js +104,Sorry! I could not find what you were looking for.,"Undskyld! Jeg kunne ikke finde det, du leder efter."
DocType: Data Migration Run,Logs,Logs
apps/dataent/dataent/templates/emails/recurring_document_failed.html +8,It is necessary to take this action today itself for the above mentioned recurring,Det er nødvendigt at tage denne handling i dag selv for ovennævnte tilbagevendende
DocType: Custom DocPerm,This role update User Permissions for a user,Denne rolle opdatering Bruger Tilladelser for en bruger
apps/dataent/dataent/public/js/dataent/model/model.js +538,Rename {0},Omdøb {0}
DocType: Workflow State,zoom-out,zoom-ud
apps/dataent/dataent/public/js/legacy/form.js +66,Cannot open {0} when its instance is open,Kan ikke åbne {0} når dens forekomst er åben
apps/dataent/dataent/model/document.py +1092,Table {0} cannot be empty,Tabel {0} kan ikke være tomt
DocType: SMS Parameter,Parameter,Parameter
apps/dataent/dataent/public/js/dataent/views/reports/grid_report.js +823,With Ledgers,Med Ledgers
apps/dataent/dataent/public/js/dataent/views/image/image_view.js +13,Images,Billeder
DocType: Activity Log,Reference Owner,henvisning Ejer
DocType: User,"If enabled, user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Hvis den er aktiveret, kan brugeren logge ind fra en hvilken som helst IP-adresse ved hjælp af Two Factor Auth. Dette kan også indstilles for alle brugere i Systemindstillinger"
DocType: Currency,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Mindste cirkulerende stambrøk (mønt). For fx 1 cent for USD, og det skal indtastes som 0,01"
DocType: Social Login Key,GitHub,GitHub
apps/dataent/dataent/model/base_document.py +557,"{0}, Row {1}","{0}, række {1}"
apps/dataent/dataent/www/feedback.html +93,Please give a fullname.,Indtast det fulde navn.
apps/dataent/dataent/model/document.py +1066,Beginning with,Begyndende med
apps/dataent/dataent/core/doctype/data_import/exporter.py +53,Data Import Template,Data Import Skabelon
apps/dataent/dataent/public/js/dataent/model/model.js +33,Parent,Parent
DocType: System Settings,"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Hvis aktiveret, vil kodeordets styrke blive håndhævet baseret på værdien Minimum Password Score. En værdi på 2 er medium stærk og 4 er meget stærk."
DocType: About Us Settings,"""Team Members"" or ""Management""",&quot;Team medlemmer&quot; eller &quot;Management&quot;
apps/dataent/dataent/core/doctype/doctype/doctype.py +547,Default for 'Check' type of field must be either '0' or '1',Standard for &quot;Kontrollér&quot; type felt skal enten være &#39;0&#39; eller &#39;1&#39;
apps/dataent/dataent/public/js/dataent/misc/pretty_date.js +51,Yesterday,I går
DocType: Contact,Designation,Betegnelse
DocType: Test Runner,Test Runner,Test Runner
DocType: Auto Repeat,Monthly,Månedlig
DocType: Address,Uttarakhand,Uttarakhand
DocType: Email Account,Enable Incoming,Aktiver indgående
apps/dataent/dataent/core/doctype/version/version_view.html +47,Danger,Fare
apps/dataent/dataent/www/login.html +21,Email Address,E-mailadresse
DocType: Workflow State,th-large,th-large
DocType: Communication,Unread Notification Sent,Ulæst meddelelse Sent
apps/dataent/dataent/public/js/dataent/misc/tools.js +10,Export not allowed. You need {0} role to export.,Udlæsning er ikke tilladt. Du har brug for {0} rolle for at kunne udlæse.
DocType: System Settings,In seconds,Om sekunder
apps/dataent/dataent/public/js/dataent/list/list_view.js +998,Cancel {0} documents?,Annuller {0} dokumenter?
DocType: DocType,Is Published Field,Er Udgivet Field
DocType: GCalendar Settings,GCalendar Settings,GCalendar-indstillinger
DocType: Email Group,Email Group,E-mailgruppe
DocType: Note,Seen By,Set af
apps/dataent/dataent/public/js/dataent/form/grid.js +69,Add Multiple,Tilføj flere
apps/dataent/dataent/core/doctype/user/user.py +87,Not a valid User Image.,Ikke et gyldigt brugerbillede.
DocType: Success Action,First Success Message,Første succesmeddelelse
apps/dataent/dataent/public/js/dataent/ui/filters/filter.js +13,Not Like,Ikke lig med
apps/dataent/dataent/custom/doctype/customize_form/customize_form.js +214,Set the display label for the field,Indstil displayet etiket for feltet
apps/dataent/dataent/model/document.py +1083,Incorrect value: {0} must be {1} {2},Forkert værdi: {0} skal være {1} {2}
apps/dataent/dataent/config/setup.py +237,"Change field properties (hide, readonly, permission etc.)","Skift egenskaber for feltet (skjul, skrivebeskyttet, tilladelse osv.)"
DocType: Workflow State,lock,lås
apps/dataent/dataent/config/website.py +78,Settings for Contact Us Page.,"Indstillinger for ""Kontakt os""-siden."
apps/dataent/dataent/core/doctype/user/user.py +916,Administrator Logged In,Administrator logget ind
DocType: Contact Us Settings,"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Kontaktmuligheder, som ""Sales Query, Support Query"" etc hver på en ny linje eller adskilt af kommaer."
apps/dataent/dataent/public/js/dataent/ui/tag_editor.js +34,Add a tag ...,Tilføj et tag ...
apps/dataent/dataent/desk/doctype/auto_repeat/auto_repeat.py +276,New {0}: #{1},Ny {0}: # {1}
DocType: Data Migration Run,Insert,Indsæt
apps/dataent/dataent/public/js/dataent/form/link_selector.js +22,Select {0},Vælg {0}
apps/dataent/dataent/integrations/doctype/social_login_key/social_login_key.py +24,Please enter Base URL,Indtast venligst basiswebadresse
DocType: Auto Repeat,Repeat on Day,Gentag på dagen
DocType: DocField,Color,Farve
DocType: Data Migration Run,Log,Log
DocType: Workflow State,indent-right,led-højre
DocType: Has Role,Has Role,har rolle
DocType: System Settings,Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Tid i sekunder for at beholde QR-kode billede på serveren. Min: <strong>240</strong>
apps/dataent/dataent/public/js/dataent/views/inbox/inbox_view.js +20,Invalid Email Account,Ugyldig e-mail-konto
apps/dataent/dataent/public/js/dataent/ui/upload.html +12,Web Link,Web Link
DocType: Deleted Document,Restored,Gendannet
apps/dataent/dataent/public/js/dataent/misc/pretty_date.js +47,1 minute ago,1 minut siden
apps/dataent/dataent/core/page/permission_manager/permission_manager_help.html +36,"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Bortset fra System Manager, roller med Set User Tilladelser ret kan angive tilladelser for andre brugere til at Dokumenttype."
DocType: Company History,Company History,Firmaets historie
apps/dataent/dataent/website/doctype/portal_settings/portal_settings.js +19,Reset,Nulstil
DocType: Workflow State,volume-up,volumen-up
apps/dataent/dataent/config/integrations.py +78,Webhooks calling API requests into web apps,Webhooks kalder API-anmodninger til webapps
DocType: DocType,Default Print Format,Standard Print Format
DocType: Workflow State,Tags,Tags
apps/dataent/dataent/public/js/dataent/form/workflow.js +35,None: End of Workflow,Ingen: Slutning af Workflow
apps/dataent/dataent/model/db_schema.py +357,"{0} field cannot be set as unique in {1}, as there are non-unique existing values","{0} felt kan ikke indstilles som enestående i {1}, da der er ikke-unikke eksisterende værdier"
apps/dataent/dataent/core/page/permission_manager/permission_manager.js +48,Document Types,Dokumenttyper
DocType: Address,Jammu and Kashmir,Jammu og Kashmir
DocType: Workflow,Workflow State Field,Workflow State Field
apps/dataent/dataent/website/doctype/web_form/templates/web_form.html +59,Please sign-up or login to begin,Log-up eller log ind for at begynde
DocType: Blog Post,Guest,Gæst
DocType: DocType,Title Field,Titel Field
DocType: Error Log,Error Log,Fejllog
